,Unnamed: 0,id,sex,age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,AQ,AQlikert,AQattDetail,AQsocialSkill,AQattSwitch,AQcomm,AQimagination
0,0,20395,Vrouw,06/97,4,3,3,2,2,2,4,2,4,1,2,4,4,2,1,4,1,2,4,4,3,3,3,1,3,3,1,3,3,3,3,2,3,2,3,2,2,2,3,1,3,3,1,1,3,2,2,2,3,3,14,100,23,16,23,19,19
1,1,20959,Man,05/98,3,1,1,2,3,1,3,1,2,2,3,2,3,1,2,3,2,3,2,3,4,2,2,3,2,3,1,1,3,1,2,3,3,3,4,2,3,2,2,3,4,4,2,2,3,1,3,1,3,1,20,111,26,22,29,19,15
2,2,20959,Man,05/98,2,2,1,3,3,2,3,1,1,2,3,3,3,1,2,3,2,3,1,4,4,2,2,3,2,3,1,1,3,2,2,3,3,3,4,2,3,2,3,3,4,4,2,2,4,1,1,1,3,1,17,106,27,20,27,18,14
3,3,21088,Man,04/96,4,2,2,2,2,2,1,1,3,2,3,1,3,3,3,3,4,3,4,3,3,2,2,3,3,1,3,3,3,1,2,2,1,2,4,3,3,3,3,3,4,2,1,2,2,3,3,2,3,3,29,129,26,25,26,29,23
4,4,19756,Vrouw,10/96,4,2,1,1,1,1,4,1,3,2,3,1,1,1,2,2,3,4,4,4,4,1,1,4,2,2,2,4,2,4,2,2,2,3,4,2,2,3,3,2,2,4,3,3,3,2,3,2,1,2,22,120,30,26,26,21,17
5,5,20380,Vrouw,03/1988,3,2,1,1,4,4,4,1,4,2,2,2,3,2,2,2,3,2,4,4,4,2,4,2,3,2,2,3,1,3,2,2,4,3,4,2,3,3,3,2,4,4,1,2,3,2,3,2,1,2,17,103,16,22,30,21,14
6,6,20689,Vrouw,09/95,2,2,3,3,4,4,3,3,4,1,1,2,4,3,1,3,1,3,4,3,3,3,3,2,2,4,2,2,2,2,2,2,3,2,2,2,3,1,3,2,4,3,2,1,3,3,1,3,3,1,11,96,18,17,22,18,21
7,7,20497,Vrouw,04/97,2,2,2,3,3,4,4,1,4,4,3,1,3,3,2,3,2,3,4,4,4,2,2,2,2,2,2,4,2,3,2,2,1,2,2,3,3,2,1,1,3,3,2,1,3,3,2,3,2,2,18,114,23,24,25,25,17
8,8,20830,Vrouw,07/1997,3,3,3,3,4,1,1,3,1,3,3,3,1,3,4,3,4,3,1,1,1,3,3,4,3,4,1,3,3,1,2,1,4,1,4,1,2,1,3,1,4,2,1,1,4,4,1,1,4,3,22,117,28,20,21,19,29
9,9,20524,Vrouw,10/1997,2,2,2,3,2,3,3,3,4,2,2,2,4,4,2,3,1,3,4,3,1,3,3,2,3,3,3,2,2,3,2,2,2,2,3,2,3,2,3,2,3,3,2,2,3,3,2,2,2,2,13,111,21,20,24,21,25
10,10,20374,Vrouw,08/1997,2,4,1,4,1,4,4,1,4,1,1,1,4,2,1,4,1,2,4,4,3,4,4,1,1,4,1,2,2,3,1,1,4,1,4,1,1,1,4,1,4,4,2,1,4,4,1,2,3,1,7,71,22,13,12,12,12
11,11,20716,Vrouw,05/1997,2,2,1,2,1,3,4,1,4,2,2,1,3,2,1,2,1,2,4,4,3,3,2,2,4,3,2,3,1,3,1,2,2,1,2,1,3,1,2,2,3,4,2,1,4,3,2,3,1,2,17,103,23,18,26,20,16
12,12,20521,Vrouw,15/12/1997,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,24,124,24,26,25,23,26
13,13,21403,Vrouw,02/1997,2,2,1,4,3,3,4,1,4,2,2,3,4,3,1,3,1,3,4,4,2,4,3,2,2,3,3,3,2,2,3,2,4,1,3,2,2,1,3,1,3,1,2,1,2,3,1,2,3,1,11,94,20,17,20,18,19
14,14,20743,Vrouw,07/1997,2,3,3,3,3,3,2,3,2,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,28,128,24,27,25,24,28
15,15,21136,Vrouw,04/1997,2,3,3,3,3,2,4,3,3,1,1,2,4,1,1,3,1,2,2,3,4,3,2,1,2,3,2,3,3,2,1,2,3,1,4,2,2,1,3,1,3,2,3,1,3,4,1,2,3,1,12,94,27,16,17,16,18
16,16,20602,Vrouw,06/97,1,2,1,4,4,4,4,1,4,2,2,4,4,3,1,3,1,4,4,3,3,3,4,1,2,3,3,2,3,2,3,2,3,2,3,2,3,2,4,1,4,2,1,1,4,3,1,2,2,2,9,90,15,17,23,18,17
